Reporting Area,MMWR Year,MMWR Week,"Dengue virus infections, Dengue, Current week","Dengue virus infections, Dengue, Current week, flag","Dengue virus infections, Dengue, Previous 52 weeks Max†","Dengue virus infections, Dengue, Previous 52 weeks Max†, flag","Dengue virus infections, Dengue, Cum 2020†","Dengue virus infections, Dengue, Cum 2020†, flag","Dengue virus infections, Dengue, Cum 2019†","Dengue virus infections, Dengue, Cum 2019†, flag","Dengue virus infections, Dengue-like illness, Current week","Dengue virus infections, Dengue-like illness, Current week, flag","Dengue virus infections, Dengue-like illness, Previous 52 weeks Max†","Dengue virus infections, Dengue-like illness, Previous 52 weeks Max†, flag","Dengue virus infections, Dengue-like illness, Cum 2020†","Dengue virus infections, Dengue-like illness, Cum 2020†, flag","Dengue virus infections, Dengue-like illness, Cum 2019†","Dengue virus infections, Dengue-like illness, Cum 2019†, flag","Dengue virus infections, Severe dengue, Current week","Dengue virus infections, Severe dengue, Current week, flag","Dengue virus infections, Severe dengue, Previous 52 weeks Max†","Dengue virus infections, Severe dengue, Previous 52 weeks Max†, flag","Dengue virus infections, Severe dengue,  Cum 2020†","Dengue virus infections, Severe dengue,  Cum 2020†, flag","Dengue virus infections, Severe dengue,  Cum 2019†","Dengue virus infections, Severe dengue, Cum 2019†, flag",Location 1,Location 2,Reporting Area Sort,New Georeferenced Column
MISSOURI,2020,22,,-,4,,2,,,-,,-,0,,,-,,-,,-,0,,,-,,-,MISSOURI,,20202224,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2020,22,,-,16,,8,,35,,,-,1,,,-,,-,,-,1,,,-,,-,,MIDDLE ATLANTIC,20202209,
CALIFORNIA,2020,22,,-,18,,21,,39,,,-,0,,,-,,-,,-,0,,,-,,-,CALIFORNIA,,20202259,POINT (-119.662127 37.211164)
WEST VIRGINIA,2020,22,,-,1,,,-,3,,,-,0,,,-,,-,,-,0,,,-,,-,WEST VIRGINIA,,20202237,POINT (-80.613729 38.642579)
FLORIDA,2020,22,,-,27,,25,,35,,,-,0,,,-,,-,,-,2,,,-,2,,FLORIDA,,20202231,POINT (-82.420978 28.260731)
MONTANA,2020,22,,-,1,,,-,4,,,-,0,,,-,,-,,-,0,,,-,,-,MONTANA,,20202252,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2020,22,,-,4,,4,,1,,,-,1,,,-,,-,,-,0,,,-,,-,,WEST NORTH CENTRAL,20202220,
MASSACHUSETTS,2020,22,,-,3,,5,,3,,,-,1,,,-,,-,,-,0,,,-,,-,MASSACHUSETTS,,20202205,POINT (-71.481104 42.151077)
MOUNTAIN,2020,22,,-,5,,8,,9,,,-,2,,1,,1,,,-,1,,,-,,-,,MOUNTAIN,20202248,
INDIANA,2020,22,,-,2,,2,,2,,,-,0,,,-,,-,,-,0,,,-,,-,INDIANA,,20202216,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2020,22,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,20202269,
US TERRITORIES,2020,22,,-,19,,179,,5,,,-,4,,21,,2,,,-,2,,7,,1,,,US TERRITORIES,20202263,
INDIANA,2020,24,,-,2,,2,,2,,,-,0,,,-,,-,,-,0,,,-,,-,INDIANA,,20202416,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2020,24,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,20202469,
US TERRITORIES,2020,24,,-,19,,184,,5,,,-,4,,21,,2,,,-,2,,8,,1,,,US TERRITORIES,20202463,
SOUTH CAROLINA,2020,29,,-,1,,,-,4,,,-,0,,,-,,-,,-,0,,,-,,-,SOUTH CAROLINA,,20202935,POINT (-80.864614 33.878572)
VIRGINIA,2020,29,,-,3,,4,,3,,,-,0,,,-,,-,,-,0,,,-,,-,VIRGINIA,,20202936,POINT (-78.666382 37.510861)
TOTAL,2020,25,,-,70,,316,,231,,,-,4,,24,,10,,,-,5,,8,,4,,,TOTAL,20202570,
NEW HAMPSHIRE,2020,25,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NEW HAMPSHIRE,,20202506,POINT (-71.57139 43.680429)
