Reporting Area,MMWR Year,MMWR Week,"Dengue virus infections, Dengue, Current week","Dengue virus infections, Dengue, Current week, flag","Dengue virus infections, Dengue, Previous 52 weeks Max†","Dengue virus infections, Dengue, Previous 52 weeks Max†, flag","Dengue virus infections, Dengue, Cum 2021†","Dengue virus infections, Dengue, Cum 2021†, flag","Dengue virus infections, Dengue, Cum 2020†","Dengue virus infections, Dengue, Cum 2020†, flag","Dengue virus infections, Dengue-like illness, Current week","Dengue virus infections, Dengue-like illness, Current week, flag","Dengue virus infections, Dengue-like illness, Previous 52 weeks Max†","Dengue virus infections, Dengue-like illness, Previous 52 weeks Max†, flag","Dengue virus infections, Dengue-like illness, Cum 2021†","Dengue virus infections, Dengue-like illness, Cum 2021†, flag","Dengue virus infections, Dengue-like illness, Cum 2020†","Dengue virus infections, Dengue-like illness, Cum 2020†, flag","Dengue virus infections, Severe dengue, Current week","Dengue virus infections, Severe dengue, Current week, flag","Dengue virus infections, Severe dengue, Previous 52 weeks Max†","Dengue virus infections, Severe dengue, Previous 52 weeks Max†, flag","Dengue virus infections, Severe dengue,  Cum 2021†","Dengue virus infections, Severe dengue,  Cum 2021†, flag","Dengue virus infections, Severe dengue,  Cum 2020†","Dengue virus infections, Severe dengue, Cum 2020†, flag",Location 1,Location 2,Reporting Area Sort,geocode
EAST SOUTH CENTRAL,2021,29,,-,1,,,-,2,,,-,0,,,-,,-,,-,0,,,-,,-,,EAST SOUTH CENTRAL,20212938,
NORTH DAKOTA,2021,29,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTH DAKOTA,,20212926,POINT (-100.46931 47.446305)
NEVADA,2021,29,,-,1,,,-,1,,,-,0,,,-,1,,,-,0,,,-,,-,NEVADA,,20212953,POINT (-114.916992 39.283294)
ILLINOIS,2021,29,,-,2,,,-,9,,,-,0,,,-,,-,,-,0,,,-,,-,ILLINOIS,,20212915,POINT (-89.148632 40.124144)
IOWA,2021,29,,-,0,,,-,1,,,-,0,,,-,,-,,-,0,,,-,,-,IOWA,,20212921,POINT (-93.500061 42.074659)
TEXAS,2021,29,,-,13,,2,,8,,,-,1,,,-,,-,,-,0,,,-,,-,TEXAS,,20212947,POINT (-99.317341 31.447238)
ALASKA,2021,29,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,ALASKA,,20212958,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2021,29,,-,0,,,-,1,,,-,0,,,-,1,,,-,0,,,-,,-,DISTRICT OF COLUMBIA,,20212930,POINT (-77.016275 38.904785)
WASHINGTON,2021,29,,-,1,,,-,4,,,-,0,,,-,1,,,-,0,,,-,,-,WASHINGTON,,20212962,POINT (-120.592492 47.411715)
NEW ENGLAND,2021,29,,-,1,,1,,11,,,-,0,,,-,,-,,-,0,,,-,,-,,NEW ENGLAND,20212902,
RHODE ISLAND,2021,29,,-,1,,1,,,-,,-,0,,,-,,-,,-,0,,,-,,-,RHODE ISLAND,,20212907,POINT (-71.534637 41.572574)
OREGON,2021,29,,-,2,,1,,6,,,-,0,,,-,,-,,-,0,,,-,,-,OREGON,,20212961,POINT (-120.605279 43.940449)
DELAWARE,2021,29,,-,0,,,-,1,,,-,0,,,-,,-,,-,0,,,-,,-,DELAWARE,,20212929,POINT (-75.452394 38.994926)
ALABAMA,2021,29,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,ALABAMA,,20212939,POINT (-86.844516 32.756889)
KANSAS,2021,29,,-,1,,,-,1,,,-,0,,,-,,-,,-,0,,,-,,-,KANSAS,,20212922,POINT (-98.38018 38.484729)
NORTH CAROLINA,2021,29,,-,1,,,-,4,,,-,0,,,-,,-,,-,0,,,-,,-,NORTH CAROLINA,,20212934,POINT (-79.130883 35.52603)
GUAM,2021,29,,-,1,,1,,2,,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20212966,POINT (144.653198 13.3532)
NEW JERSEY,2021,29,,-,0,,,-,2,,,-,0,,,-,,-,,-,0,,,-,,-,NEW JERSEY,,20212910,POINT (-74.655514 40.110253)
NEW MEXICO,2021,29,,-,0,,,-,1,,,-,0,,,-,,-,,-,0,,,-,,-,NEW MEXICO,,20212954,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2021,29,,-,2,,4,,20,,,-,0,,,-,,-,,-,1,,,-,,-,,EAST NORTH CENTRAL,20212914,
TENNESSEE,2021,29,,-,0,,,-,2,,,-,0,,,-,,-,,-,0,,,-,,-,TENNESSEE,,20212942,POINT (-86.343226 35.842998)
CONNECTICUT,2021,29,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,CONNECTICUT,,20212903,POINT (-72.738288 41.575155)
MARYLAND,2021,29,,-,1,,1,,2,,,-,0,,,-,,-,,-,0,,,-,,-,MARYLAND,,20212933,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2021,29,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,SOUTH CAROLINA,,20212935,POINT (-80.864614 33.878572)
OKLAHOMA,2021,29,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,OKLAHOMA,,20212946,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2021,29,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20212965,POINT (145.725693 15.1834)
OHIO,2021,29,,-,1,,2,,2,,,-,0,,,-,,-,,-,0,,,-,,-,OHIO,,20212918,POINT (-82.70936 40.415534)
MINNESOTA,2021,29,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,MINNESOTA,,20212923,POINT (-94.198308 46.349153)
LOUISIANA,2021,29,,-,1,,1,,3,,,-,0,,,-,,-,,-,0,,,-,,-,LOUISIANA,,20212945,POINT (-91.840238 30.921314)
HAWAII,2021,29,,-,1,,,-,4,,,-,0,,,-,,-,,-,0,,,-,,-,HAWAII,,20212960,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2021,29,,-,15,,8,,52,,,-,0,,,-,2,,,-,0,,,-,,-,,SOUTH ATLANTIC,20212928,
PENNSYLVANIA,2021,29,,-,1,,,-,3,,,-,0,,,-,,-,,-,0,,,-,,-,PENNSYLVANIA,,20212913,POINT (-77.838886 40.896694)
UTAH,2021,29,,-,1,,,-,1,,,-,0,,,-,,-,,-,0,,,-,,-,UTAH,,20212955,POINT (-111.678222 39.323779)
COLORADO,2021,29,,-,1,,,-,3,,,-,0,,,-,,-,,-,0,,,-,,-,COLORADO,,20212950,POINT (-105.547832 38.998552)
VERMONT,2021,29,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,VERMONT,,20212908,POINT (-72.662695 44.075252)
KENTUCKY,2021,29,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,KENTUCKY,,20212940,POINT (-85.290484 37.526683)
PUERTO RICO,2021,29,,-,30,,249,,258,,,-,7,,53,,29,,,-,3,,19,,11,,PUERTO RICO,,20212967,POINT (-66.414655 18.215692)
MAINE,2021,29,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,MAINE,,20212904,POINT (-69.06137 45.117911)
VIRGINIA,2021,29,,-,1,,,-,4,,,-,0,,,-,,-,,-,0,,,-,,-,VIRGINIA,,20212936,POINT (-78.666382 37.510861)
ARIZONA,2021,29,,-,1,,2,,4,,,-,1,,1,,,-,,-,0,,,-,,-,ARIZONA,,20212949,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2021,29,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20212964,
WISCONSIN,2021,29,,-,1,,,-,6,,,-,0,,,-,,-,,-,1,,,-,,-,WISCONSIN,,20212919,POINT (-89.732969 44.639954)
IDAHO,2021,29,,-,0,,,-,1,,,-,0,,,-,,-,,-,0,,,-,,-,IDAHO,,20212951,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2021,29,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20212968,POINT (-64.840836 18.060868)
MICHIGAN,2021,29,,-,1,,2,,1,,,-,0,,,-,,-,,-,0,,,-,,-,MICHIGAN,,20212917,POINT (-85.730977 44.874798)
GEORGIA,2021,29,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,GEORGIA,,20212932,POINT (-83.426574 32.638481)
NEW YORK CITY,2021,29,,-,2,,,-,19,,,-,0,,,-,,-,,-,0,,,-,,-,,NEW YORK CITY,20212912,
ARKANSAS,2021,29,,-,0,,,-,1,,,-,0,,,-,,-,,-,0,,,-,,-,ARKANSAS,,20212944,POINT (-92.439162 34.899825)
MISSISSIPPI,2021,29,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,MISSISSIPPI,,20212941,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2021,29,,-,0,,,-,2,,,-,0,,,-,,-,,-,0,,,-,,-,SOUTH DAKOTA,,20212927,POINT (-100.230491 44.43614)
WYOMING,2021,29,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,WYOMING,,20212956,POINT (-107.55145 42.999627)
MISSOURI,2021,29,,-,1,,,-,2,,,-,0,,,-,,-,,-,0,,,-,,-,MISSOURI,,20212924,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2021,29,,-,2,,,-,34,,,-,0,,,-,,-,,-,0,,,-,,-,,MIDDLE ATLANTIC,20212909,
CALIFORNIA,2021,29,,-,1,,3,,,-,,-,0,,,-,,-,,-,0,,,-,,-,CALIFORNIA,,20212959,POINT (-119.662127 37.211164)
WEST VIRGINIA,2021,29,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,WEST VIRGINIA,,20212937,POINT (-80.613729 38.642579)
FLORIDA,2021,29,,-,15,,7,,40,,,-,0,,,-,1,,,-,0,,,-,,-,FLORIDA,,20212931,POINT (-82.420978 28.260731)
MONTANA,2021,29,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,MONTANA,,20212952,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2021,29,,-,2,,2,,8,,,-,0,,,-,,-,,-,0,,,-,,-,,WEST NORTH CENTRAL,20212920,
MASSACHUSETTS,2021,29,,-,1,,,-,11,,,-,0,,,-,,-,,-,0,,,-,,-,MASSACHUSETTS,,20212905,POINT (-71.481104 42.151077)
MOUNTAIN,2021,29,,-,1,,2,,11,,,-,1,,1,,1,,,-,0,,,-,,-,,MOUNTAIN,20212948,
INDIANA,2021,29,,-,0,,,-,2,,,-,0,,,-,,-,,-,0,,,-,,-,INDIANA,,20212916,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2021,29,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,20212969,
US TERRITORIES,2021,29,,-,30,,250,,260,,,-,7,,53,,29,,,-,3,,19,,11,,,US TERRITORIES,20212963,
WEST VIRGINIA,2021,34,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,WEST VIRGINIA,,20213437,POINT (-80.613729 38.642579)
