Year,Travel status,Jurisdiction,Count,Legend,Notes
2015,All,TX,32,5 to 49,NA
2015,All,VA,25,5 to 49,NA
2015,All,WA,18,5 to 49,NA
2015,All,WI,7,5 to 49,NA
2015,All,CA,140,50 to 249,NA
2015,All,FL,81,50 to 249,NA
2015,All,HI,217,50 to 249,NA
2015,All,NJ,61,50 to 249,NA
2015,All,NY,110,50 to 249,NA
2015,All,PR,59,50 to 249,NA
2016,All,AR,3,1 to 4,NA
2016,All,AS,2,1 to 4,NA
2016,All,DE,2,1 to 4,NA
2016,All,GU,1,1 to 4,NA
2016,All,ID,4,1 to 4,NA
2016,All,KS,4,1 to 4,NA
2016,All,KY,1,1 to 4,NA
2016,All,ME,2,1 to 4,NA
2016,All,MH,1,1 to 4,NA
2016,All,MT,2,1 to 4,NA
2016,All,ND,2,1 to 4,NA
2016,All,NE,3,1 to 4,NA
2016,All,NH,3,1 to 4,NA
2016,All,SD,2,1 to 4,NA
2016,All,VT,3,1 to 4,NA
2016,All,AK,6,5 to 49,NA
2016,All,AL,5,5 to 49,NA
2016,All,AZ,13,5 to 49,NA
2016,All,CO,22,5 to 49,NA
2016,All,CT,6,5 to 49,NA
2016,All,DC,9,5 to 49,NA
2016,All,FM,8,5 to 49,NA
2016,All,GA,20,5 to 49,NA
2016,All,IA,11,5 to 49,NA
2016,All,IL,35,5 to 49,NA
2016,All,IN,9,5 to 49,NA
2016,All,LA,6,5 to 49,NA
2016,All,MA,8,5 to 49,NA
2016,All,MD,13,5 to 49,NA
2016,All,MI,16,5 to 49,NA
2016,All,MN,29,5 to 49,NA
2016,All,MO,13,5 to 49,NA
2016,All,NC,13,5 to 49,NA
2016,All,NM,5,5 to 49,NA
2016,All,NV,6,5 to 49,NA
2016,All,OH,6,5 to 49,NA
2016,All,OK,5,5 to 49,NA
2016,All,OR,9,5 to 49,NA
2016,All,PA,21,5 to 49,NA
2016,All,RI,5,5 to 49,NA
2016,All,SC,11,5 to 49,NA
2016,All,TN,12,5 to 49,NA
2016,All,TX,45,5 to 49,NA
2016,All,UT,6,5 to 49,NA
2016,All,VA,28,5 to 49,NA
2016,All,VI,11,5 to 49,NA
2016,All,WA,25,5 to 49,NA
2016,All,WI,7,5 to 49,NA
2016,All,CA,197,50 to 249,NA
2016,All,FL,70,50 to 249,NA
2016,All,HI,58,50 to 249,NA
2016,All,NJ,52,50 to 249,NA
2016,All,NY,136,50 to 249,NA
2016,All,PR,216,50 to 249,NA
2017,All,AK,1,1 to 4,NA
2017,All,AZ,3,1 to 4,NA
2017,All,DE,1,1 to 4,NA
2017,All,IN,3,1 to 4,NA
2017,All,KS,2,1 to 4,NA
2017,All,KY,1,1 to 4,NA
2017,All,LA,1,1 to 4,NA
2017,All,MO,1,1 to 4,NA
2017,All,MS,2,1 to 4,NA
2017,All,NC,3,1 to 4,NA
2017,All,NE,1,1 to 4,NA
2017,All,OK,2,1 to 4,NA
2017,All,PA,4,1 to 4,NA
2017,All,RI,1,1 to 4,NA
2017,All,VI,1,1 to 4,NA
2017,All,CO,5,5 to 49,NA
2017,All,CT,6,5 to 49,NA
2017,All,DC,5,5 to 49,NA
2017,All,FL,17,5 to 49,NA
2017,All,GA,5,5 to 49,NA
2017,All,HI,22,5 to 49,NA
2017,All,IA,5,5 to 49,NA
2017,All,IL,23,5 to 49,NA
2017,All,MA,5,5 to 49,NA
2017,All,MD,9,5 to 49,NA
2017,All,MI,10,5 to 49,NA
2017,All,MN,11,5 to 49,NA
