year,week,start.date,end.date,district,cases
2024,8,2024-02-17,2024-02-23,Kilinochchi,NA
2024,8,2024-02-17,2024-02-23,Mannar,NA
2024,8,2024-02-17,2024-02-23,Vavuniya,NA
2024,8,2024-02-17,2024-02-23,Mullaitivu,NA
2024,8,2024-02-17,2024-02-23,Batticaloa,NA
2024,8,2024-02-17,2024-02-23,Ampara,NA
2024,8,2024-02-17,2024-02-23,Trincomalee,NA
2024,8,2024-02-17,2024-02-23,Kurunegala,NA
2024,8,2024-02-17,2024-02-23,Puttalam,NA
2024,8,2024-02-17,2024-02-23,Anuradhapura,NA
2024,8,2024-02-17,2024-02-23,Polonnaruwa,NA
2024,8,2024-02-17,2024-02-23,Badulla,NA
2024,8,2024-02-17,2024-02-23,Monaragala,NA
2024,8,2024-02-17,2024-02-23,Ratnapura,NA
2024,8,2024-02-17,2024-02-23,Kegalle,NA
2024,9,2024-02-24,2024-03-01,Colombo,252
2024,9,2024-02-24,2024-03-01,Gampaha,102
2024,9,2024-02-24,2024-03-01,Kalutara,54
2024,9,2024-02-24,2024-03-01,Kandy,58
2024,9,2024-02-24,2024-03-01,Matale,16
2024,9,2024-02-24,2024-03-01,NuwaraEliya,6
2024,9,2024-02-24,2024-03-01,Galle,75
2024,9,2024-02-24,2024-03-01,Hambantota,18
2024,9,2024-02-24,2024-03-01,Matara,15
2024,9,2024-02-24,2024-03-01,Jaffna,148
2024,9,2024-02-24,2024-03-01,Kilinochchi,9
2024,9,2024-02-24,2024-03-01,Mannar,4
2024,9,2024-02-24,2024-03-01,Vavuniya,3
2024,9,2024-02-24,2024-03-01,Mullaitivu,2
2024,9,2024-02-24,2024-03-01,Batticaloa,51
2024,9,2024-02-24,2024-03-01,Ampara,7
2024,9,2024-02-24,2024-03-01,Trincomalee,26
2024,9,2024-02-24,2024-03-01,Kurunegala,58
2024,9,2024-02-24,2024-03-01,Puttalam,21
2024,9,2024-02-24,2024-03-01,Anuradhapura,50
2024,9,2024-02-24,2024-03-01,Polonnaruwa,7
2024,9,2024-02-24,2024-03-01,Badulla,8
2024,9,2024-02-24,2024-03-01,Monaragala,25
2024,9,2024-02-24,2024-03-01,Ratnapura,57
2024,9,2024-02-24,2024-03-01,Kegalle,43
2024,10,2024-03-02,2024-03-08,Colombo,NA
2024,10,2024-03-02,2024-03-08,Gampaha,NA
2024,10,2024-03-02,2024-03-08,Kalutara,NA
2024,10,2024-03-02,2024-03-08,Kandy,NA
2024,10,2024-03-02,2024-03-08,Matale,NA
2024,10,2024-03-02,2024-03-08,NuwaraEliya,NA
2024,10,2024-03-02,2024-03-08,Galle,NA
2024,10,2024-03-02,2024-03-08,Hambantota,NA
2024,10,2024-03-02,2024-03-08,Matara,NA
2024,10,2024-03-02,2024-03-08,Jaffna,NA
2024,10,2024-03-02,2024-03-08,Kilinochchi,NA
2024,10,2024-03-02,2024-03-08,Mannar,NA
2024,10,2024-03-02,2024-03-08,Vavuniya,NA
2024,10,2024-03-02,2024-03-08,Mullaitivu,NA
2024,10,2024-03-02,2024-03-08,Batticaloa,NA
2024,10,2024-03-02,2024-03-08,Ampara,NA
2024,10,2024-03-02,2024-03-08,Trincomalee,NA
2024,10,2024-03-02,2024-03-08,Kurunegala,NA
2024,10,2024-03-02,2024-03-08,Puttalam,NA
2024,10,2024-03-02,2024-03-08,Anuradhapura,NA
2024,10,2024-03-02,2024-03-08,Polonnaruwa,NA
2024,10,2024-03-02,2024-03-08,Badulla,NA
2024,10,2024-03-02,2024-03-08,Monaragala,NA
2024,10,2024-03-02,2024-03-08,Ratnapura,NA
2024,10,2024-03-02,2024-03-08,Kegalle,NA
2024,11,2024-03-09,2024-03-15,Colombo,NA
2024,11,2024-03-09,2024-03-15,Gampaha,NA
2024,11,2024-03-09,2024-03-15,Kalutara,NA
2024,11,2024-03-09,2024-03-15,Kandy,NA
2024,11,2024-03-09,2024-03-15,Matale,NA
2024,11,2024-03-09,2024-03-15,NuwaraEliya,NA
2024,11,2024-03-09,2024-03-15,Galle,NA
2024,11,2024-03-09,2024-03-15,Hambantota,NA
2024,11,2024-03-09,2024-03-15,Matara,NA
2024,11,2024-03-09,2024-03-15,Jaffna,NA
2024,11,2024-03-09,2024-03-15,Kilinochchi,NA
2024,11,2024-03-09,2024-03-15,Mannar,NA
2024,11,2024-03-09,2024-03-15,Vavuniya,NA
2024,11,2024-03-09,2024-03-15,Mullaitivu,NA
2024,11,2024-03-09,2024-03-15,Batticaloa,NA
2024,11,2024-03-09,2024-03-15,Ampara,NA
2024,11,2024-03-09,2024-03-15,Trincomalee,NA
2024,11,2024-03-09,2024-03-15,Kurunegala,NA
2024,11,2024-03-09,2024-03-15,Puttalam,NA
2024,11,2024-03-09,2024-03-15,Anuradhapura,NA
2024,11,2024-03-09,2024-03-15,Polonnaruwa,NA
2024,11,2024-03-09,2024-03-15,Badulla,NA
2024,11,2024-03-09,2024-03-15,Monaragala,NA
2024,11,2024-03-09,2024-03-15,Ratnapura,NA
2024,11,2024-03-09,2024-03-15,Kegalle,NA
2024,12,2024-03-16,2024-03-22,Colombo,NA
2024,12,2024-03-16,2024-03-22,Gampaha,NA
2024,12,2024-03-16,2024-03-22,Kalutara,NA
2024,12,2024-03-16,2024-03-22,Kandy,NA
2024,12,2024-03-16,2024-03-22,Matale,NA
2024,12,2024-03-16,2024-03-22,NuwaraEliya,NA
2024,12,2024-03-16,2024-03-22,Galle,NA
2024,12,2024-03-16,2024-03-22,Hambantota,NA
2024,12,2024-03-16,2024-03-22,Matara,NA
2024,12,2024-03-16,2024-03-22,Jaffna,NA
2024,12,2024-03-16,2024-03-22,Kilinochchi,NA
2024,12,2024-03-16,2024-03-22,Mannar,NA
2024,12,2024-03-16,2024-03-22,Vavuniya,NA
2024,12,2024-03-16,2024-03-22,Mullaitivu,NA
2024,12,2024-03-16,2024-03-22,Batticaloa,NA
2024,12,2024-03-16,2024-03-22,Ampara,NA
2024,12,2024-03-16,2024-03-22,Trincomalee,NA
2024,12,2024-03-16,2024-03-22,Kurunegala,NA
